discipline_title,event_title,event_gender,medal_type,participant_type,country_3_letter_code,game_location,game_season,game_year,game_name
Alpine Skiing,Alpine Team Event,Mixed,Bronze,Team,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Alpine Team Event,Mixed,Gold,Team,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Alpine Team Event,Mixed,Silver,Team,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Alpine Combined,Women,Bronze,Athlete,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Alpine Combined,Women,Gold,Athlete,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Alpine Combined,Women,Silver,Athlete,USA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Downhill,Women,Bronze,Athlete,USA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Downhill,Women,Gold,Athlete,ITA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Downhill,Women,Silver,Athlete,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Giant Slalom,Women,Bronze,Athlete,ITA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Giant Slalom,Women,Gold,Athlete,USA,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Giant Slalom,Women,Silver,Athlete,NOR,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Slalom,Women,Bronze,Athlete,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Slalom,Women,Gold,Athlete,SWE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Slalom,Women,Silver,Athlete,CHE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Super-G,Women,Bronze,Athlete,LIE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Super-G,Women,Gold,Athlete,CZE,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Ladies’ Super-G,Women,Silver,Athlete,AUT,Republic of Korea,Winter,2018,PyeongChang 2018
Alpine Skiing,Men's Alpine Combined,Men,Bronze,Athlete,CAN,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Alpine Combined,Men,Gold,Athlete,AUT,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Alpine Combined,Men,Silver,Athlete,NOR,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Downhill,Men,Bronze,Athlete,AUT,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Downhill,Men,Gold,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Downhill,Men,Silver,Athlete,FRA,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Giant Slalom,Men,Bronze,Athlete,FRA,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Giant Slalom,Men,Gold,Athlete,CHE,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Giant Slalom,Men,Silver,Athlete,SVN,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Slalom,Men,Bronze,Athlete,NOR,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Slalom,Men,Gold,Athlete,FRA,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Slalom,Men,Silver,Athlete,AUT,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Super-G,Men,Bronze,Athlete,NOR,China,Winter,2022,Beijing 2022
Alpine Skiing,Men's Super-G,Men,Gold,Athlete,AUT,China,Winter,2022,Beijing 2022
