discipline_title,event_title,event_gender,medal_type,participant_type,country_3_letter_code,game_location,game_year,game_name
Archery,Championnat Du Monde Men,Men,Gold,Athlete,FRA,France,1900,Paris 1900
Archery,Championnat Du Monde Men,Men,Silver,Athlete,BEL,France,1900,Paris 1900
Archery,Individual Competition women,Women,Bronze,Athlete,EUN,Spain,1992,Barcelona 1992
Archery,Individual Competition women,Women,Bronze,Athlete,KOR,Brazil,2016,Rio 2016
Archery,Individual Competition women,Women,Gold,Athlete,KOR,Brazil,2016,Rio 2016
Archery,Individual Competition women,Women,Gold,Athlete,KOR,Spain,1992,Barcelona 1992
Archery,Individual Competition women,Women,Silver,Athlete,DEU,Brazil,2016,Rio 2016
Archery,Individual Competition women,Women,Silver,Athlete,KOR,Spain,1992,Barcelona 1992
Archery,Individual competition men,Men,Bronze,Athlete,AUS,Greece,2004,Athens 2004
Archery,Individual competition men,Men,Bronze,Athlete,USA,Brazil,2016,Rio 2016
Archery,Individual competition men,Men,Gold,Athlete,ITA,Greece,2004,Athens 2004
Archery,Individual competition men,Men,Gold,Athlete,KOR,Brazil,2016,Rio 2016
Archery,Individual competition men,Men,Silver,Athlete,FRA,Brazil,2016,Rio 2016
Archery,Individual competition men,Men,Silver,Athlete,JPN,Greece,2004,Athens 2004
Archery,Men's Individual,Men,Bronze,Athlete,JPN,Japan,2020,Tokyo 2020
Archery,Men's Individual,Men,Gold,Athlete,TUR,Japan,2020,Tokyo 2020
Archery,Men's Individual,Men,Silver,Athlete,ITA,Japan,2020,Tokyo 2020
Archery,Men's Team,Men,Bronze,Team,JPN,Japan,2020,Tokyo 2020
Archery,Men's Team,Men,Gold,Team,KOR,Japan,2020,Tokyo 2020
Archery,Men's Team,Men,Silver,Team,CHN,Japan,2020,Tokyo 2020
Archery,Mixed Team,Mixed,Bronze,Team,MEX,Japan,2020,Tokyo 2020
Archery,Mixed Team,Mixed,Gold,Team,KOR,Japan,2020,Tokyo 2020
Archery,Mixed Team,Mixed,Silver,Team,NLD,Japan,2020,Tokyo 2020
Archery,Team Round Men,Men,Bronze,Team,USA,United States,1904,St. Louis 1904
Archery,Team Round Men,Men,Gold,Team,USA,United States,1904,St. Louis 1904
Archery,Team Round Men,Men,Silver,Team,USA,United States,1904,St. Louis 1904
Archery,Women's Individual,Women,Bronze,Athlete,ITA,Japan,2020,Tokyo 2020
Archery,Women's Individual,Women,Gold,Athlete,KOR,Japan,2020,Tokyo 2020
